Название,Описание,Жанр,Год,Страна,Теги/Эмоции,Ссылка
Мемуары улитки,"Австралия, 1970-е. В городе Кранберри живёт одинокая женщина по имени Грейс Пудл. Она любит читать любовные романы и коллекционировать декоративных улиток. Однажды в её жизни появляется Пинки — пожилая и эксцентричная женщина, с которой они становятся близкими подругами. С этого момента жизнь Грейс снова наполняется радостью и яркими красками.",Анимация,1970,,,
Забытые войны,"Между Второй мировой войной и войной в Ираке Британия и ее союзники были втянуты в ряд серьезных конфликтов по всему миру. Подробности, потери и споры, окружавшие эти войны, сейчас в значительной степени забыты общественностью. Этот проницательный исторический документальный сериал исследует забытые битвы Суэцкого, Боснийского, Корейского, Персидского заливов и других жестоких конфликтов.⬇️",Документальный,,Великобритания,,
Мафия в белых халатах,,,,,,
Семь смертей по рецепту,,,,,,
Вердикт,,,,,,
Бруталист,"1947 год. Венгерский архитектор Ласло Тот без гроша в кармане эмигрирует из послевоенной Европы в США. Получив 25-долларовый ваучер на проезд от местных властей, он перебирается в Филадельфию к двоюродному брату Атилле и его жене Одри, которые владеют мебельным магазином. Там он начинает новую жизнь, помогая родственнику в бизнесе, и пытается переправить в страну свою супругу Эржебет и её больную племянницу.",,1947,США,,
Прекращение огня,"Начало 1920-х годов. После тяжелой контузии, полученной во время войны, Жорж Лаффон решает оставить прежнюю жизнь и отправляется в путешествие по Западной Африке. Однако это приключение заводит его в тупик, и Лаффон возвращается во Францию к своему брату-инвалиду, живущему с матерью. Жорж отчаянно стремится найти своё место в жизни...",,,Франция,,
Третий человек,,,,,,
Паразиты,,,,,,
Принц и нищий,,,,,,
Янки при дворе короля Артура,,,,,,
Том Сойер,,,,,,
Приключения Гекльберри Финна,,,,,,
Совсем пропащий,,,,,,
Филипп Траум,,,,,,
Банковский билет в миллион фунтов стерлингов,,,,,,
Гекльберри Финн,"Гекльберри Финн живёт в небольшом городке Ганнибал с вдовой Дуглас и её сестрой, которые приютили бездомного сироту. Но однажды на горизонте появляется папаша Гека, которого все считали умершим. Оказывается, он прослышал, что его сын разбогател, и поэтому похищает Гека, требуя за него выкуп в тысячу долларов. Находясь в заточении у вечно пьяного отца в его лесной избушке, Гек находит способ сбежать, при этом он инсценирует собственную гибель, чтобы его не искали. Вскоре Гек встречает беглого раба Джима, и они вместе отправляются на плоту вниз по Миссисипи в ""свободные штаты"", где негр наконец-то перестанет быть рабом.",,,,,
свободные штаты,"Гекльберри Финн живёт в небольшом городке Ганнибал с вдовой Дуглас и её сестрой, которые приютили бездомного сироту. Но однажды на горизонте появляется папаша Гека, которого все считали умершим. Оказывается, он прослышал, что его сын разбогател, и поэтому похищает Гека, требуя за него выкуп в тысячу долларов. Находясь в заточении у вечно пьяного отца в его лесной избушке, Гек находит способ сбежать, при этом он инсценирует собственную гибель, чтобы его не искали. Вскоре Гек встречает беглого раба Джима, и они вместе отправляются на плоту вниз по Миссисипи в ""свободные штаты"", где негр наконец-то перестанет быть рабом.",,,,,
